dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url,annual_count
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2015,1001/430/2015-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2015-george-river-coho.json,35790
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2017,1001/430/2017-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2017-george-river-coho.json,25338
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2018,1001/430/2018-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2018-george-river-coho.json,8993
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2019,1001/430/2019-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2019-george-river-coho.json,13277
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2020,1001/430/2020-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2020-george-river-coho.json,21426
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2021,1001/430/2021-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2021-george-river-coho.json,31491
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2022,1001/430/2022-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2022-george-river-coho.json,9934
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2023,1001/430/2023-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2023-george-river-coho.json,33439
adfg-commercial,escapement_monitoring,1001,George River,NA,430,Coho,2025,1001/430/2025-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2025-george-river-coho.json,15385
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,1997,1001/420/1997-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/1997-george-river-sockeye.json,445
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2000,1001/420/2000-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2000-george-river-sockeye.json,22
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2001,1001/420/2001-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2001-george-river-sockeye.json,24
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2002,1001/420/2002-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2002-george-river-sockeye.json,17
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2004,1001/420/2004-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2004-george-river-sockeye.json,177
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2005,1001/420/2005-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2005-george-river-sockeye.json,272
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2006,1001/420/2006-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2006-george-river-sockeye.json,146
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2007,1001/420/2007-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2007-george-river-sockeye.json,65
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2008,1001/420/2008-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2008-george-river-sockeye.json,92
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2009,1001/420/2009-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2009-george-river-sockeye.json,54
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2010,1001/420/2010-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2010-george-river-sockeye.json,113
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2011,1001/420/2011-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2011-george-river-sockeye.json,43
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2012,1001/420/2012-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2012-george-river-sockeye.json,79
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2013,1001/420/2013-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2013-george-river-sockeye.json,150
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2014,1001/420/2014-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2014-george-river-sockeye.json,156
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2015,1001/420/2015-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2015-george-river-sockeye.json,159
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2017,1001/420/2017-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2017-george-river-sockeye.json,912
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2018,1001/420/2018-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2018-george-river-sockeye.json,1615
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2019,1001/420/2019-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2019-george-river-sockeye.json,3973
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2020,1001/420/2020-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2020-george-river-sockeye.json,281
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2021,1001/420/2021-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2021-george-river-sockeye.json,937
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2022,1001/420/2022-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2022-george-river-sockeye.json,519
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2023,1001/420/2023-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2023-george-river-sockeye.json,1181
adfg-commercial,escapement_monitoring,1001,George River,NA,420,Sockeye,2025,1001/420/2025-george-river-sockeye.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/420/2025-george-river-sockeye.json,1357
adfg-commercial,escapement_monitoring,1002,Goodnews River (Middle Fork),NA,410,Chinook,1988,1002/410/1988-whitehorse-fishway-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1002/410/1988-whitehorse-fishway-chinook.json,405
adfg-commercial,escapement_monitoring,1002,Goodnews River (Middle Fork),NA,410,Chinook,1989,1002/410/1989-whitehorse-fishway-chinook.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1002/410/1989-whitehorse-fishway-chinook.json,549
