dataset,source_type,location_id,stock,region,species_id,species,year,file_path,raw_url
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2005,1001/430/2005-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2005-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2006,1001/430/2006-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2006-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2007,1001/430/2007-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2007-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2008,1001/430/2008-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2008-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2009,1001/430/2009-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2009-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2010,1001/430/2010-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2010-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2011,1001/430/2011-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2011-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2012,1001/430/2012-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2012-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2013,1001/430/2013-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2013-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2014,1001/430/2014-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2014-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2015,1001/430/2015-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2015-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2017,1001/430/2017-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2017-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2018,1001/430/2018-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2018-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2019,1001/430/2019-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2019-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2020,1001/430/2020-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2020-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2021,1001/430/2021-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2021-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2022,1001/430/2022-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2022-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2023,1001/430/2023-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2023-george-river-coho.json
adfg-commercial,escapement_monitoring,1001,George River,,430,Coho,2025,1001/430/2025-george-river-coho.json,https://raw.githubusercontent.com/alaskafishcounts/adfg-commercial-dataset/refs/heads/master/1001/430/2025-george-river-coho.json
